Table 13												
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency	 2008"												
State	Agency type	Agency name	Number of incidents per bias motivation					Number of incidents per quarter1				Population2
			Race	Religion	"Sexual
orientation"	Ethnicity	Disability	"1st
quarter"	"2nd
quarter"	"3rd
quarter"	"4th
quarter"	
		Marina	1	0	0	0	0	1	0	0	0	"17	865"
		Marysville	0	1	0	0	0	0	1	0	0	"11	766"
		Maywood	1	0	0	0	0	1	0	0	0	"28	411"
		Millbrae	0	2	0	0	0	0	2	0	0	"20	681"
		Mill Valley	0	1	0	0	0	0	0	0	1	"13	205"
		Milpitas	1	0	0	0	0	0	0	0	1	"67	282"
		Mission Viejo	1	0	0	2	0	0	1	1	1	"94	702"
		Modesto	4	1	2	1	0	0	3	3	2	"205	750"
		Montclair	0	0	0	1	0	0	0	1	0	"36	643"
		Monterey	0	1	0	0	0	1	0	0	0	"28	326"
		Moorpark	0	1	1	1	0	0	1	1	1	"36	789"
		Moreno Valley	1	2	1	2	0	3	2	1	0	"195	649"
		Morro Bay	1	0	0	0	0	0	1	0	0	"10	257"
		Mountain View	0	1	0	1	0	1	0	0	1	"70	401"
		Murrieta	1	0	1	0	0	0	1	0	1	"105	666"
		Napa	1	0	0	1	0	0	1	1	0	"74	420"
		National City	1	0	0	0	0	0	0	0	1	"59	390"
		Newark	2	0	1	0	0	0	0	3	0	"41	558"
		Newman	1	0	0	0	0	1	0	0	0	"10	416"
		Newport Beach	2	2	1	2	0	1	2	2	2	"79	821"
		Norwalk	1	1	1	0	0	3	0	0	0	"103	612"
		Novato	1	1	0	0	0	1	0	1	0	"52	662"
		Oakland	14	1	12	2	0	6	7	9	7	"401	587"
		Oakley	0	0	1	0	0	0	0	1	0	"31	036"
		Oceanside	13	3	1	4	0	3	5	7	6	"169	502"
		Ontario	5	1	0	0	0	0	3	1	2	"172	543"
		Orange	0	0	1	2	0	1	1	0	1	"134	852"
		Oxnard	1	0	2	0	0	1	0	1	1	"186	434"
		Pacifica	0	1	0	1	0	2	0	0	0	"37	145"
		Pacific Grove	0	1	0	0	0	0	0	1	0	"14	567"
		Palmdale	7	1	4	2	0	1	1	6	6	"144	109"
		Palm Springs	1	1	6	0	0	2	4	1	1	"48	558"
		Palo Alto	0	5	0	0	0	1	0	3	1	"58	203"
		Paradise	0	0	1	0	0	0	0	0	1	"26	466"
		Paramount	4	0	0	0	0	3	1	0	0	"55	636"
		Pasadena	8	3	2	7	0	8	7	3	2	"144	545"
		Petaluma	1	2	1	1	0	1	0	3	1	"54	454"
		Piedmont	1	0	0	0	0	0	0	0	1	"10	417"
		Placerville	1	0	0	0	0	0	0	1	0	"9	929"
		Pomona	6	2	0	0	0	3	1	0	4	"153	201"
		Poway	0	2	0	0	0	0	1	1	0	"48	772"
