		Redding	9	0	1	4	0	2	3	6	3	90974					
		Redlands	1	0	0	0	0	0	0	1	0	70399					
		Redondo	Beach	2	2	1	1	0	1	3	0	2	67856					
		Redwood	City	0	0	0	1	0	0	0	0	1	78466					
		Reedley	0	0	0	1	0	1	0	0	0	24747					
		Richmond	2	0	0	3	0	4	1	0	0	106357					
		Riverside	4	5	2	1	0	5	2	3	2	313532					
		Rosemead	1	0	1	0	0	0	2	0	0	54656					
		Roseville	0	0	0	1	0	0	0	1	0	122896					
		Sacramento	2	4	7	3	0	4	5	7	0	476557					
		San	Anselmo	1	0	0	0	0	0	1	0	0	12584					
		San	Bernardino	1	0	0	0	0	0	1	0	0	214987					
		San	Clemente	0	0	1	0	0	0	1	0	0	65089					
		San	Diego	12	7	9	6	0	10	6	8	10	1338477					
		San	Dimas	1	0	0	0	0	1	0	0	0	33923					
		San	Francisco	8	1	20	6	0	8	9	8	10	820363					
		San	Gabriel	1	0	0	0	0	1	0	0	0	40376					
		San	Jose	3	5	5	2	0	6	2	1	6	976459					
		San	Leandro	3	0	0	0	0	2	0	0	1	86869					
		San	Luis	Obispo	0	0	2	2	0	2	2	0	0	45947					
		San	Marcos	1	0	1	0	0	1	0	0	1	85810					
		San	Mateo	1	0	0	0	0	1	0	0	0	99303					
		San	Rafael	1	1	1	0	0	0	1	0	2	58854					
		Santa	Ana	2	0	3	2	0	3	4	0	0	332482					
		Santa	Barbara	0	0	1	0	0		0	0	1	89871					
		Santa	Clarita3	2	2	2	3	0	4	2	2	1	179248					
		Santa	Cruz	2	5	3	0	0	2	3	3	2	60902					
		Santa	Maria	1	0	0	0	0	0	1	0	0	101207					
		Santa	Monica	6	2	0	3	0	2	4	4	1	91215					
		Santa	Paula	0	0	1	0	0	0	0	0	1	29899					
		Santa	Rosa	0	0	0	1	0	1	0	0	0	170862					
		Saratoga	0	1	0	0	0	0	0	0	1	30683					
		Scotts	Valley	1	0	0	0	0	0	0	0	1	11775					
		Sierra	Madre	0	0	1	0	0	1	0	0	0	11098					
		Simi	Valley	2	1	0	0	0	3	0	0	0	126686					
		Sonora	1	0	0	0	0	0	1	0	0	4911					
		South	Gate	1	0	0	0	0	0	0	1	0	95966					
		Stockton	2	0	0	0	0	0	1	0	1	299105					
		Sunnyvale	2	0	0	1	0	1	1	1	0	143606					
		Taft	1	0	0	1	0	1	0	0	1	9552					
		Tehachapi	1	0	0	0	0	1	0	0	0	14766					
		Temecula	2	1	1	0	0	3	1	0	0	103414					
		Temple	City	1	0	0	0	0	0	0	1	0	36148					
		Thousand	Oaks	2	1	0	0	0	0	2	0	1	129171					
		Torrance	1	0	1	0	0	1	1	0	0	147851					
		Tracy	0	0	1	1	0	1	0	0	1	85047					
		Tulare	0	0	1	0	0	0	0	0	1	60848					
		Turlock	1	0	0	0	0	0	0	0	1	69730					
		Ukiah	0	0	1	0	0	0	1	0	0	16172					
		Union	City	0	1	0	0	0	1	0	0	0	71089					
		Upland	1	0	0	0	0	0	0	1	0	75531					
		Vallejo	2	0	0	0	0	1	0	0	1	117912					
		Ventura	1	0	2	0	0	0	2	1	0	108511					
		Victorville	2	0	0	0	0	0	0	1	1	118687					
		Villa	Park	1	0	0	0	0	0	0	0	1	5956					
